id,_date,_open,_high,_low,_close,adj_close,volumen
77,1999-05-12,0.038802,0.039714,0.038281,0.039583,0.036307,168480000
78,1999-05-13,0.039583,0.040625,0.039453,0.039583,0.036307,69936000
79,1999-05-14,0.039583,0.039583,0.036979,0.0375,0.034396,28464000
80,1999-05-17,0.036979,0.039323,0.036849,0.039323,0.036068,35760000
81,1999-05-18,0.039714,0.041667,0.038542,0.041146,0.03774,151536000
82,1999-05-19,0.042969,0.044531,0.038672,0.039323,0.036068,451728000
83,1999-05-20,0.039583,0.039583,0.034766,0.036198,0.033202,178176000
84,1999-05-21,0.035677,0.035677,0.034375,0.035417,0.032485,303504000
85,1999-05-24,0.035677,0.036458,0.034766,0.035286,0.032365,162624000
86,1999-05-25,0.035417,0.035938,0.035156,0.035547,0.032605,130080000
87,1999-05-26,0.035417,0.03724,0.035417,0.035417,0.032485,104736000
88,1999-05-27,0.035677,0.035677,0.035156,0.035156,0.032246,82320000
89,1999-05-28,0.035677,0.035677,0.035156,0.035547,0.032605,88656000
90,1999-06-01,0.035417,0.035677,0.034896,0.035677,0.032724,98544000
91,1999-06-02,0.035677,0.035677,0.034375,0.034375,0.03153,130128000
92,1999-06-03,0.035286,0.035547,0.034896,0.035286,0.032365,41568000
93,1999-06-04,0.035547,0.035677,0.035286,0.035547,0.032605,78912000
94,1999-06-07,0.035742,0.036458,0.035677,0.035938,0.032963,125136000
95,1999-06-08,0.036068,0.0375,0.035938,0.036849,0.033799,153312000
96,1999-06-09,0.036979,0.038281,0.036979,0.0375,0.034396,95184000
97,1999-06-10,0.0375,0.03776,0.03724,0.03763,0.034515,36096000
98,1999-06-11,0.03763,0.03776,0.035547,0.036849,0.033799,61008000
99,1999-06-14,0.036914,0.036979,0.035156,0.035417,0.032485,51648000
100,1999-06-15,0.035417,0.035677,0.034896,0.035417,0.032485,49296000
101,1999-06-16,0.035938,0.0375,0.035417,0.036458,0.03344,64416000
102,1999-06-17,0.036198,0.036719,0.035417,0.035417,0.032485,74928000
103,1999-06-18,0.035677,0.035677,0.034115,0.034115,0.031291,158736000
104,1999-06-21,0.035156,0.035938,0.034212,0.035938,0.032963,83472000
105,1999-06-22,0.035938,0.035938,0.034505,0.035286,0.032365,193056000
106,1999-06-23,0.034896,0.035938,0.034505,0.035938,0.032963,210912000
107,1999-06-24,0.036198,0.036198,0.034896,0.035156,0.032246,115200000
108,1999-06-25,0.034896,0.036068,0.034896,0.035677,0.032724,73536000
109,1999-06-28,0.036849,0.036849,0.035417,0.036198,0.033202,109152000
110,1999-06-29,0.036719,0.037109,0.036198,0.036589,0.03356,92688000
111,1999-06-30,0.03776,0.039844,0.036979,0.039844,0.036546,269232000
112,1999-07-01,0.039844,0.039844,0.035677,0.03776,0.034634,88992000
113,1999-07-02,0.038281,0.040495,0.0375,0.040495,0.037143,224880000
114,1999-07-06,0.040885,0.040885,0.040104,0.040625,0.037262,198096000
115,1999-07-07,0.040885,0.040885,0.039844,0.039844,0.036546,63120000
116,1999-07-08,0.040104,0.041406,0.038802,0.040755,0.037382,186048000
117,1999-07-09,0.040625,0.044531,0.040625,0.044206,0.040547,211728000
118,1999-07-12,0.046875,0.048177,0.045052,0.046224,0.042398,401040000
119,1999-07-13,0.046745,0.047005,0.044271,0.046354,0.042517,138864000
120,1999-07-14,0.046354,0.047396,0.044271,0.044531,0.040845,137952000
121,1999-07-15,0.044922,0.046354,0.044792,0.044792,0.041084,137040000
122,1999-07-16,0.045573,0.046094,0.044792,0.045703,0.04192,103872000
123,1999-07-19,0.045833,0.045964,0.044271,0.044531,0.040845,43632000
124,1999-07-20,0.044531,0.044531,0.042188,0.04375,0.040129,178752000
125,1999-07-21,0.043229,0.043229,0.041146,0.042448,0.038934,112080000
126,1999-07-22,0.042188,0.042188,0.040104,0.040495,0.037143,213264000
127,1999-07-23,0.040365,0.041667,0.040365,0.040495,0.037143,80256000
128,1999-07-26,0.041536,0.041536,0.040625,0.040625,0.037262,60528000
129,1999-07-27,0.040625,0.040885,0.040104,0.040755,0.037382,98592000
130,1999-07-28,0.040625,0.041927,0.040495,0.041406,0.037979,244224000
131,1999-07-29,0.040625,0.041927,0.040365,0.041797,0.038337,388800000
132,1999-07-30,0.041797,0.042969,0.041667,0.041927,0.038457,452304000
133,1999-08-02,0.041927,0.042448,0.041667,0.042318,0.038815,313344000
134,1999-08-03,0.042318,0.042318,0.040885,0.041276,0.037859,255216000
135,1999-08-04,0.041536,0.041667,0.041146,0.041276,0.037859,89952000
136,1999-08-05,0.041276,0.041927,0.040625,0.041927,0.038457,240576000
137,1999-08-06,0.041797,0.042057,0.041667,0.041927,0.038457,183984000
138,1999-08-09,0.042057,0.042448,0.041667,0.041927,0.038457,31056000
139,1999-08-10,0.042188,0.044531,0.041927,0.042708,0.039173,212064000
140,1999-08-11,0.04349,0.046094,0.042969,0.045573,0.041801,197712000
141,1999-08-12,0.045833,0.048958,0.045573,0.047786,0.043831,239616000
142,1999-08-13,0.047396,0.048307,0.046875,0.047266,0.043354,84672000
143,1999-08-16,0.047656,0.047656,0.04388,0.045443,0.041682,223440000
144,1999-08-17,0.045573,0.046354,0.044401,0.045573,0.041801,193536000
145,1999-08-18,0.045052,0.047135,0.044141,0.046615,0.042757,279888000
146,1999-08-19,0.04987,0.059115,0.048177,0.05651,0.051833,1966992000
147,1999-08-20,0.056641,0.057031,0.053906,0.05599,0.051356,353088000
148,1999-08-23,0.055208,0.055208,0.050781,0.052604,0.04825,507984000
149,1999-08-24,0.051823,0.052865,0.049219,0.052344,0.048011,398064000
150,1999-08-25,0.052474,0.052995,0.05,0.052083,0.047772,350352000
151,1999-08-26,0.052083,0.052865,0.050521,0.051302,0.047056,275376000
152,1999-08-27,0.052344,0.05625,0.052083,0.054167,0.049683,552384000
153,1999-08-30,0.055078,0.05612,0.051693,0.053971,0.049504,158640000
154,1999-08-31,0.054167,0.058854,0.053125,0.058594,0.053744,786864000
155,1999-09-01,0.058594,0.058594,0.054948,0.055859,0.051235,565344000
